id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penerima_manfaat,satuan,tahun
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,27408,KELUARGA PENERIMA MANFAAT,2021
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7461,KELUARGA PENERIMA MANFAAT,2021
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,72554,KELUARGA PENERIMA MANFAAT,2021
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,75446,KELUARGA PENERIMA MANFAAT,2021
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,16668,KELUARGA PENERIMA MANFAAT,2021
127,32,JAWA BARAT,3271,KOTA BOGOR,29199,KELUARGA PENERIMA MANFAAT,2021
128,32,JAWA BARAT,3272,KOTA SUKABUMI,11396,KELUARGA PENERIMA MANFAAT,2021
129,32,JAWA BARAT,3273,KOTA BANDUNG,44291,KELUARGA PENERIMA MANFAAT,2021
130,32,JAWA BARAT,3274,KOTA CIREBON,10204,KELUARGA PENERIMA MANFAAT,2021
131,32,JAWA BARAT,3275,KOTA BEKASI,40456,KELUARGA PENERIMA MANFAAT,2021
132,32,JAWA BARAT,3276,KOTA DEPOK,30659,KELUARGA PENERIMA MANFAAT,2021
133,32,JAWA BARAT,3277,KOTA CIMAHI,7713,KELUARGA PENERIMA MANFAAT,2021
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,36143,KELUARGA PENERIMA MANFAAT,2021
135,32,JAWA BARAT,3279,KOTA BANJAR,4089,KELUARGA PENERIMA MANFAAT,2021
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,127037,KELUARGA PENERIMA MANFAAT,2022
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,30656,KELUARGA PENERIMA MANFAAT,2022
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,123986,KELUARGA PENERIMA MANFAAT,2022
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,114108,KELUARGA PENERIMA MANFAAT,2022
140,32,JAWA BARAT,3205,KABUPATEN GARUT,127036,KELUARGA PENERIMA MANFAAT,2022
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,41109,KELUARGA PENERIMA MANFAAT,2022
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,62339,KELUARGA PENERIMA MANFAAT,2022
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5666,KELUARGA PENERIMA MANFAAT,2022
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,9623,KELUARGA PENERIMA MANFAAT,2022
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3778,KELUARGA PENERIMA MANFAAT,2022
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11075,KELUARGA PENERIMA MANFAAT,2022
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,81005,KELUARGA PENERIMA MANFAAT,2022
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,12748,KELUARGA PENERIMA MANFAAT,2022
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10468,KELUARGA PENERIMA MANFAAT,2022
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,80167,KELUARGA PENERIMA MANFAAT,2022
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,56774,KELUARGA PENERIMA MANFAAT,2022
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,69312,KELUARGA PENERIMA MANFAAT,2022
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3194,KELUARGA PENERIMA MANFAAT,2022
154,32,JAWA BARAT,3271,KOTA BOGOR,29444,KELUARGA PENERIMA MANFAAT,2022
155,32,JAWA BARAT,3272,KOTA SUKABUMI,112757,KELUARGA PENERIMA MANFAAT,2022
156,32,JAWA BARAT,3273,KOTA BANDUNG,46506,KELUARGA PENERIMA MANFAAT,2022
157,32,JAWA BARAT,3274,KOTA CIREBON,100493,KELUARGA PENERIMA MANFAAT,2022
158,32,JAWA BARAT,3275,KOTA BEKASI,21781,KELUARGA PENERIMA MANFAAT,2022
159,32,JAWA BARAT,3276,KOTA DEPOK,57828,KELUARGA PENERIMA MANFAAT,2022
160,32,JAWA BARAT,3277,KOTA CIMAHI,73489,KELUARGA PENERIMA MANFAAT,2022
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,45945,KELUARGA PENERIMA MANFAAT,2022
162,32,JAWA BARAT,3279,KOTA BANJAR,71807,KELUARGA PENERIMA MANFAAT,2022
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,114704,KELUARGA PENERIMA MANFAAT,2023
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,24742,KELUARGA PENERIMA MANFAAT,2023
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,111866,KELUARGA PENERIMA MANFAAT,2023
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,100225,KELUARGA PENERIMA MANFAAT,2023
167,32,JAWA BARAT,3205,KABUPATEN GARUT,11422,KELUARGA PENERIMA MANFAAT,2023
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,65727,KELUARGA PENERIMA MANFAAT,2023
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,56488,KELUARGA PENERIMA MANFAAT,2023
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4934,KELUARGA PENERIMA MANFAAT,2023
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,85048,KELUARGA PENERIMA MANFAAT,2023
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,29516,KELUARGA PENERIMA MANFAAT,2023
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9073,KELUARGA PENERIMA MANFAAT,2023
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6913,KELUARGA PENERIMA MANFAAT,2023
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,11904,KELUARGA PENERIMA MANFAAT,2023
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9009,KELUARGA PENERIMA MANFAAT,2023
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,73347,KELUARGA PENERIMA MANFAAT,2023
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,46812,KELUARGA PENERIMA MANFAAT,2023
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,60994,KELUARGA PENERIMA MANFAAT,2023
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,25258,KELUARGA PENERIMA MANFAAT,2023
181,32,JAWA BARAT,3271,KOTA BOGOR,24681,KELUARGA PENERIMA MANFAAT,2023
182,32,JAWA BARAT,3272,KOTA SUKABUMI,100719,KELUARGA PENERIMA MANFAAT,2023
183,32,JAWA BARAT,3273,KOTA BANDUNG,38445,KELUARGA PENERIMA MANFAAT,2023
184,32,JAWA BARAT,3274,KOTA CIREBON,886,KELUARGA PENERIMA MANFAAT,2023
185,32,JAWA BARAT,3275,KOTA BEKASI,18991,KELUARGA PENERIMA MANFAAT,2023
186,32,JAWA BARAT,3276,KOTA DEPOK,51238,KELUARGA PENERIMA MANFAAT,2023
187,32,JAWA BARAT,3277,KOTA CIMAHI,6371,KELUARGA PENERIMA MANFAAT,2023
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,44753,KELUARGA PENERIMA MANFAAT,2023
189,32,JAWA BARAT,3279,KOTA BANJAR,60619,KELUARGA PENERIMA MANFAAT,2023
